rank	word	reason
62089	1-Euro-Jobber	non_word_chars
62090	1-Euro-Jobbern	non_word_chars
62091	1-Euro-Jobbers	non_word_chars
62092	1-Euro-Jobs	non_word_chars
62093	1-Euro-Münze	non_word_chars
62094	1-Euro-Münzen	non_word_chars
62095	1-Euro-Stück	non_word_chars
62096	1-Euro-Stücke	non_word_chars
62097	1-Euro-Stücken	non_word_chars
62098	1-Euro-Stückes	non_word_chars
62099	1-Euro-Stücks	non_word_chars
62100	1-Hepten	non_word_chars
62101	1-Heptens	non_word_chars
62102	1-Hexanol	non_word_chars
62103	1-Hexanols	non_word_chars
62104	1-m-Brett	non_word_chars
62105	1-m-Brette	non_word_chars
62106	1-m-Bretter	non_word_chars
62107	1-m-Brettern	non_word_chars
62108	1-m-Brettes	non_word_chars
62109	1-m-Bretts	non_word_chars
62110	1-Meter-Brett	non_word_chars
62111	1-Meter-Brette	non_word_chars
62112	1-Meter-Bretter	non_word_chars
62113	1-Meter-Brettern	non_word_chars
62114	1-Meter-Brettes	non_word_chars
62115	1-Meter-Bretts	non_word_chars
62116	1-minütig	non_word_chars
62117	1-minütige	non_word_chars
62118	1-minütigem	non_word_chars
62119	1-minütigen	non_word_chars
62120	1-minütiger	non_word_chars
62121	1-minütiges	non_word_chars
62122	1-Pentanol	non_word_chars
62123	1-Pentanols	non_word_chars
62124	1-Propanol	non_word_chars
62125	1-Propanols	non_word_chars
62126	1-prozentig	non_word_chars
62127	1-prozentige	non_word_chars
62128	1-prozentigem	non_word_chars
62129	1-prozentigen	non_word_chars
62130	1-prozentiger	non_word_chars
62131	1-prozentiges	non_word_chars
62132	1-Raum-Wohnung	non_word_chars
62133	1-Raum-Wohnungen	non_word_chars
62134	1-tägig	non_word_chars
62135	1-tägige	non_word_chars
62136	1-tägigem	non_word_chars
62137	1-tägigen	non_word_chars
62138	1-tägiger	non_word_chars
62139	1-tägiges	non_word_chars
62140	1-wöchig	non_word_chars
62141	1-wöchige	non_word_chars
62142	1-wöchigem	non_word_chars
62143	1-wöchigen	non_word_chars
62144	1-wöchiger	non_word_chars
62145	1-wöchiges	non_word_chars
62146	1-Zimmer-Wohnung	non_word_chars
62147	1-Zimmer-Wohnungen	non_word_chars
62148	1.	non_word_chars
62149	1. Johannesbrief	non_word_chars
62150	1. Johannesbriefes	non_word_chars
62151	1. Johannesbriefs	non_word_chars
62152	1. Korintherbrief	non_word_chars
62153	1. Korintherbriefes	non_word_chars
62154	1. Korintherbriefs	non_word_chars
62155	1. Petrusbrief	non_word_chars
62156	1. Petrusbriefes	non_word_chars
62157	1. Petrusbriefs	non_word_chars
62158	1. Thessalonicherbrief	non_word_chars
62159	1. Thessalonicherbriefes	non_word_chars
62160	1. Thessalonicherbriefs	non_word_chars
62161	1. Timotheusbrief	non_word_chars
62162	1. Timotheusbriefes	non_word_chars
62163	1. Timotheusbriefs	non_word_chars
62164	1. Weltkrieg	non_word_chars
62165	1. Weltkriege	non_word_chars
62166	1. Weltkrieges	non_word_chars
62167	1. Weltkriegs	non_word_chars
62168	10-Cent-Münze	non_word_chars
62169	10-Cent-Münzen	non_word_chars
62170	10-Cent-Stück	non_word_chars
62171	10-Cent-Stücke	non_word_chars
62172	10-Cent-Stücken	non_word_chars
62173	10-Cent-Stückes	non_word_chars
62174	10-Cent-Stücks	non_word_chars
62175	10-Euro-Schein	non_word_chars
62176	10-Euro-Scheine	non_word_chars
62177	10-Euro-Scheinen	non_word_chars
62178	10-Euro-Scheines	non_word_chars
62179	10-Euro-Scheins	non_word_chars
62180	10-Franken-Note	non_word_chars
62181	10-Franken-Noten	non_word_chars
62182	10-Franken-Schein	non_word_chars
62183	10-Franken-Scheine	non_word_chars
62184	10-Franken-Scheinen	non_word_chars
62185	10-Franken-Scheines	non_word_chars
62186	10-Franken-Scheins	non_word_chars
62187	10-geschossig	non_word_chars
62188	10-geschossige	non_word_chars
62189	10-geschossigem	non_word_chars
62190	10-geschossigen	non_word_chars
62191	10-geschossiger	non_word_chars
62192	10-geschossiges	non_word_chars
62193	10-jährig	non_word_chars
62194	10-jährige	non_word_chars
62195	10-jährigem	non_word_chars
62196	10-jährigen	non_word_chars
62197	10-jähriger	non_word_chars
62198	10-jähriges	non_word_chars
62199	10-m-Brett	non_word_chars
62200	10-m-Brette	non_word_chars
62201	10-m-Bretter	non_word_chars
62202	10-m-Brettern	non_word_chars
62203	10-m-Brettes	non_word_chars
62204	10-m-Bretts	non_word_chars
62205	10-Mark-Schein	non_word_chars
62206	10-Mark-Scheine	non_word_chars
62207	10-Mark-Scheinen	non_word_chars
62208	10-Mark-Scheines	non_word_chars
62209	10-Mark-Scheins	non_word_chars
62210	10-Meter-Brett	non_word_chars
62211	10-Meter-Brette	non_word_chars
62212	10-Meter-Bretter	non_word_chars
62213	10-Meter-Brettern	non_word_chars
62214	10-Meter-Brettes	non_word_chars
62215	10-Meter-Bretts	non_word_chars
62216	10-minütig	non_word_chars
62217	10-minütige	non_word_chars
62218	10-minütigem	non_word_chars
62219	10-minütigen	non_word_chars
62220	10-minütiger	non_word_chars
62221	10-minütiges	non_word_chars
62222	10-Pfennig-Stück	non_word_chars
62223	10-Pfennig-Stücke	non_word_chars
62224	10-Pfennig-Stücken	non_word_chars
62225	10-Pfennig-Stückes	non_word_chars
62226	10-Pfennig-Stücks	non_word_chars
62227	10-prozentig	non_word_chars
62228	10-prozentige	non_word_chars
62229	10-prozentigem	non_word_chars
62230	10-prozentigen	non_word_chars
62231	10-prozentiger	non_word_chars
62232	10-prozentiges	non_word_chars
62233	10-seitig	non_word_chars
62234	10-seitige	non_word_chars
62235	10-seitigem	non_word_chars
62236	10-seitigen	non_word_chars
62237	10-seitiger	non_word_chars
62238	10-seitiges	non_word_chars
62239	10-tägig	non_word_chars
62240	10-tägige	non_word_chars
62241	10-tägigem	non_word_chars
62242	10-tägigen	non_word_chars
62243	10-tägiger	non_word_chars
62244	10-tägiges	non_word_chars
62245	10-Uhr-Vorstellung	non_word_chars
62246	10-Uhr-Vorstellungen	non_word_chars
62247	10-Uhr-Zug	non_word_chars
62248	10-Uhr-Zuge	non_word_chars
62249	10-Uhr-Zuges	non_word_chars
62250	10-Uhr-Zugs	non_word_chars
62251	10-Uhr-Züge	non_word_chars
62252	10-Uhr-Zügen	non_word_chars
62253	10-wöchig	non_word_chars
62254	10-wöchige	non_word_chars
62255	10-wöchigem	non_word_chars
62256	10-wöchigen	non_word_chars
62257	10-wöchiger	non_word_chars
62258	10-wöchiges	non_word_chars
62259	10.	non_word_chars
62260	100-Euro-Schein	non_word_chars
62261	100-Euro-Scheine	non_word_chars
62262	100-Euro-Scheinen	non_word_chars
62263	100-Euro-Scheines	non_word_chars
62264	100-Euro-Scheins	non_word_chars
62265	100-Franken-Note	non_word_chars
62266	100-Franken-Noten	non_word_chars
62267	100-Franken-Schein	non_word_chars
62268	100-Franken-Scheine	non_word_chars
62269	100-Franken-Scheinen	non_word_chars
62270	100-Franken-Scheines	non_word_chars
62271	100-Franken-Scheins	non_word_chars
62272	100-m-Hürdenlauf	non_word_chars
62273	100-m-Hürdenlaufes	non_word_chars
62274	100-m-Hürdenlaufs	non_word_chars
62275	100-m-Hürdenläufe	non_word_chars
62276	100-m-Hürdenläufen	non_word_chars
62277	100-m-Lauf	non_word_chars
62278	100-m-Laufes	non_word_chars
62279	100-m-Laufs	non_word_chars
62280	100-m-Läufe	non_word_chars
62281	100-m-Läufen	non_word_chars
62282	100-Mark-Schein	non_word_chars
62283	100-Mark-Scheine	non_word_chars
62284	100-Mark-Scheinen	non_word_chars
62285	100-Mark-Scheines	non_word_chars
62286	100-Mark-Scheins	non_word_chars
62287	100-Meter-Hürdenlauf	non_word_chars
62288	100-Meter-Hürdenlaufes	non_word_chars
